path_length,strategy,n_links,depth,peak_concurrency,fidelity,delivered_fidelity,hold_time,fid_loss
5,balanced,5,3,2,0.34547148216263335,0.21013924265407533,3.0,0.13533223950855802
5,optimal,5,3,2,0.34547148216263335,0.21013924265407533,3.0,0.13533223950855802
5,linear,5,4,1,0.34599364789084325,0.18387700628560147,4.0,0.16211664160524178
5,balanced,5,3,2,0.34599364789084325,0.21045685934989938,3.0,0.13553678854094386
5,optimal,5,3,2,0.34599364789084325,0.21045685934989938,3.0,0.13553678854094386
5,linear,5,4,1,0.3620837818916764,0.19242804671320138,4.0,0.16965573517847501
5,balanced,5,3,2,0.3620837818916764,0.22024397275205845,3.0,0.14183980913961794
5,optimal,5,3,2,0.3620837818916765,0.2202439727520585,3.0,0.141839809139618
5,linear,5,4,1,0.3527994320009967,0.18749391432778595,4.0,0.16530551767321078
5,balanced,5,3,2,0.3527994320009967,0.21459659994331118,3.0,0.13820283205768555
5,optimal,5,3,2,0.3527994320009966,0.21459659994331112,3.0,0.1382028320576855
5,linear,5,4,1,0.3669915339956712,0.1950362528752958,4.0,0.1719552811203754
5,balanced,5,3,2,0.3669915339956712,0.22322920123983828,3.0,0.14376233275583292
5,optimal,5,3,2,0.36699153399567125,0.2232292012398383,3.0,0.14376233275583294
5,linear,5,4,1,0.39615503784812967,0.21053508591422046,4.0,0.1856199519339092
5,balanced,5,3,2,0.3961550378481296,0.2409684269910678,3.0,0.1551866108570618
5,optimal,5,3,2,0.3961550378481296,0.2409684269910678,3.0,0.1551866108570618
5,linear,5,4,1,0.31959363161891735,0.16984681819525713,4.0,0.14974681342366022
5,balanced,5,3,2,0.3195936316189173,0.19439857462344498,3.0,0.12519505699547231
5,optimal,5,3,2,0.3195936316189173,0.19439857462344498,3.0,0.12519505699547231
5,linear,5,4,1,0.3798459529349087,0.20186768485821366,4.0,0.17797826807669503
5,balanced,5,3,2,0.37984595293490875,0.23104813275841138,3.0,0.14879782017649737
5,optimal,5,3,2,0.3798459529349087,0.23104813275841135,3.0,0.14879782017649734
5,linear,5,4,1,0.3119672789261258,0.16579382210536633,4.0,0.14617345682075947
5,balanced,5,3,2,0.31196727892612586,0.189759708430948,3.0,0.12220757049517786
5,optimal,5,3,2,0.31196727892612586,0.189759708430948,3.0,0.12220757049517786
5,linear,5,4,1,0.3658629224293336,0.19443645655723468,4.0,0.17142646587209892
5,balanced,5,3,2,0.36586292242933355,0.22254270295547576,3.0,0.14332021947385779
