frontier_index,throughput,fidelity,latency,memory
304,4,0.7764138877200788,65.0,26.0
305,4,0.7928360486936188,95.0,38.0
306,4,0.7590731707317072,50.0,20.0
307,4,0.7764138877200788,65.0,26.0
308,4,0.7928360486936188,95.0,38.0
309,4,0.7590731707317072,50.0,20.0
310,4,0.7764138877200788,65.0,26.0
311,4,0.7928360486936188,95.0,38.0
312,3,0.8105165649035561,45.0,18.0
313,4,0.766387423677667,60.0,24.0
314,4,0.7837281406660386,75.0,30.0
315,4,0.8001503016395786,105.0,42.0
316,4,0.766387423677667,60.0,24.0
317,4,0.7837281406660386,75.0,30.0
318,4,0.8001503016395786,105.0,42.0
319,4,0.766387423677667,60.0,24.0
320,4,0.7837281406660386,75.0,30.0
321,4,0.8001503016395786,105.0,42.0
322,3,0.8125030698056337,45.0,18.0
323,4,0.7678773023542252,60.0,24.0
324,4,0.7852180193425968,75.0,30.0
325,4,0.8016401803161368,105.0,42.0
326,4,0.7678773023542252,60.0,24.0
327,4,0.7852180193425968,75.0,30.0
328,4,0.7678773023542252,60.0,24.0
329,4,0.7852180193425968,75.0,30.0
330,3,0.8238851836267719,50.0,20.0
331,4,0.7764138877200789,65.0,26.0
332,4,0.7937546047084505,80.0,32.0
333,4,0.8101767656819905,110.0,44.0
334,4,0.7764138877200789,65.0,26.0
335,4,0.7937546047084505,80.0,32.0
336,4,0.7764138877200789,65.0,26.0
337,4,0.7937546047084505,80.0,32.0
338,3,0.8336375208880517,60.0,24.0
339,4,0.7837281406660387,75.0,30.0
340,4,0.8010688576544103,90.0,36.0
341,4,0.8174910186279503,120.0,48.0
342,4,0.7837281406660387,75.0,30.0
343,4,0.8010688576544103,90.0,36.0
344,4,0.7837281406660387,75.0,30.0
345,4,0.8010688576544103,90.0,36.0
346,3,0.8343992844370204,75.0,30.0
347,4,0.7842994633277652,90.0,36.0
348,4,0.8016401803161368,105.0,42.0
349,4,0.8180623412896768,135.0,54.0
350,4,0.7842994633277652,90.0,36.0
351,4,0.7842994633277652,90.0,36.0
352,3,0.8457813982581586,80.0,32.0
353,4,0.7928360486936189,95.0,38.0
354,4,0.8101767656819905,110.0,44.0
355,4,0.8265989266555305,140.0,56.0
356,4,0.7928360486936189,95.0,38.0
357,4,0.7928360486936189,95.0,38.0
358,3,0.8555337355194382,90.0,36.0
359,4,0.8001503016395787,105.0,42.0
360,4,0.8174910186279503,120.0,48.0
361,4,0.8339131796014903,150.0,60.0
362,4,0.8001503016395787,105.0,42.0
363,4,0.8001503016395787,105.0,42.0
364,3,0.7893821138211381,30.0,12.0
365,4,0.7505365853658535,45.0,18.0
366,4,0.7678773023542251,60.0,24.0
367,4,0.7842994633277651,90.0,36.0
368,4,0.7505365853658535,45.0,18.0
369,4,0.7678773023542251,60.0,24.0
370,4,0.7842994633277651,90.0,36.0
371,4,0.7505365853658535,45.0,18.0
372,4,0.7678773023542251,60.0,24.0
373,4,0.7842994633277651,90.0,36.0
374,3,0.8007642276422763,35.0,14.0
375,4,0.7590731707317072,50.0,20.0
376,4,0.7764138877200788,65.0,26.0
377,4,0.7928360486936188,95.0,38.0
378,4,0.7590731707317072,50.0,20.0
379,4,0.7764138877200788,65.0,26.0
380,4,0.7928360486936188,95.0,38.0
381,4,0.7590731707317072,50.0,20.0
382,4,0.7764138877200788,65.0,26.0
383,4,0.7928360486936188,95.0,38.0
384,3,0.8105165649035561,45.0,18.0
385,4,0.766387423677667,60.0,24.0
