n_requests,sigma,policy,eps,n_variables,n_bundles_in,n_selected,param_utility,e_utility,reliability_gap,served_ratio,sla_violation_prob,e_delivered_fidelity,exact_time_s,gap_vs_exact
10,0.05,chance,0.5,27,27,9,370.38718701342634,505.83397904411396,-135.44679203068756,0.9333333333333333,0.044642857142857144,0.8095615747341967,0.0013543250006478047,nan
10,0.05,chance,0.65,28,28,9,398.41451700540404,534.5039674140014,-136.08945040859732,0.9722222222222222,0.10857142857142857,0.7944099281593828,0.002059438000287628,nan
10,0.05,chance,0.8,28,28,9,398.41451700540404,534.5039674140014,-136.08945040859732,0.9722222222222222,0.10857142857142857,0.7944099281593828,0.0013714300002902746,nan
10,0.05,nominal,1.0,30,30,10,404.0921525351797,550.7442871791845,-146.65213464400478,0.965,0.18911917098445596,0.7702274687621835,0.0013371330005611526,nan
10,0.05,chance_qubo,0.2,25,25,7,188.34645863310075,328.90101095755,-140.55455232444925,0.7071428571428572,0.005050505050505051,0.8681343304349374,0.0012818539998988854,0.4835701115303812
10,0.05,hard,0.0,17,17,5,132.87955258710227,229.8796698804252,-97.00011729332294,0.845,0.08875739644970414,0.685213486989244,0.004342895999798202,nan
10,0.05,chance,0.05,12,12,4,90.05785704752707,157.11501660377832,-67.05715955625125,0.73125,0.008547008547008548,0.7080865316341436,0.001790712000001804,nan
10,0.05,chance,0.1,13,13,4,100.2455491311809,162.41262403281172,-62.167074901630826,0.8125,0.03076923076923077,0.6903804701029278,0.0012093389996152837,nan
10,0.05,chance,0.2,15,15,5,131.80441516569047,225.41111753307808,-93.60670236738761,0.805,0.06832298136645963,0.673191866002396,0.0014676959999633254,nan
10,0.05,chance,0.35,17,17,5,132.87955258710227,229.8796698804252,-97.00011729332294,0.845,0.08875739644970414,0.685213486989244,0.0015279229992302135,nan
10,0.05,chance,0.5,17,17,5,132.87955258710227,229.8796698804252,-97.00011729332294,0.845,0.08875739644970414,0.685213486989244,0.0022759809999115532,nan
10,0.05,chance,0.65,17,17,5,132.87955258710227,229.8796698804252,-97.00011729332294,0.845,0.08875739644970414,0.685213486989244,0.0023797100002411753,nan
10,0.05,chance,0.8,20,20,6,189.21647800013102,326.8750928782084,-137.65861487807743,0.9041666666666667,0.30414746543778803,0.6507411220743776,0.0019254410017310875,nan
10,0.05,nominal,1.0,30,30,6,199.31327912288336,386.7734973665636,-187.46021824368026,0.8916666666666667,0.4719626168224299,0.5972779455208136,0.002742300999670988,nan
10,0.05,chance_qubo,0.2,15,15,3,44.59355246493721,100.50305389255928,-55.90950142762207,0.5666666666666667,0.04411764705882353,0.6699930088523394,0.0013920720011810772,0.6616687505583259
10,0.05,hard,0.0,26,26,6,137.1646120667103,254.6534664799223,-117.48885441321198,0.9416666666666667,0.16371681415929204,0.6530952823017165,0.002003051000428968,nan
10,0.05,chance,0.05,18,18,4,72.57600570987086,137.6054820841957,-65.02947637432484,0.80625,0.007751937984496124,0.683189770534897,0.001972513999135117,nan
10,0.05,chance,0.1,19,19,4,72.57600570987086,137.6054820841957,-65.02947637432484,0.80625,0.007751937984496124,0.683189770534897,0.0019756090005103033,nan
10,0.05,chance,0.2,22,22,5,84.86959280549078,151.0533365721528,-66.18374376666202,0.865,0.07514450867052024,0.6967031932449221,0.0023979140005394584,nan
10,0.05,chance,0.35,24,24,6,123.78208456669358,242.47277850673885,-118.69069394004528,0.8833333333333333,0.07547169811320754,0.6774087824089035,0.0021089500005473383,nan
10,0.05,chance,0.5,26,26,6,137.1646120667103,254.6534664799223,-117.48885441321198,0.9416666666666667,0.16371681415929204,0.6530952823017165,0.0017904070009535644,nan
10,0.05,chance,0.65,26,26,6,137.1646120667103,254.6534664799223,-117.48885441321198,0.9416666666666667,0.16371681415929204,0.6530952823017165,0.0026505549994908506,nan
10,0.05,chance,0.8,29,29,7,176.1729523778196,307.0134134285286,-130.84046105070902,0.9214285714285714,0.24031007751937986,0.6641170213526484,0.0021897810001973994,nan
10,0.05,nominal,1.0,30,30,7,176.1729523778196,307.0134134285286,-130.84046105070902,0.9214285714285714,0.24031007751937986,0.6641170213526484,0.0024448140011372743,nan
10,0.05,chance_qubo,0.2,22,22,1,3.8607048377825195,24.17602543800657,-20.315320600224048,0.475,0.10526315789473684,0.5906912144371098,0.0018065879994537681,0.9545101524567142
