topology,instance,instance_seed,n_requests,n_bundles,A_conventional,B_conventional,D_conventional,A_resource_aware,B_resource_aware,D_resource_aware,B_ratio,D_ratio,B_tighter,D_tighter
chain8_c4,n8,40,8,18,118.90266404080664,118.90266404080664,118.90266404080664,118.90266404080664,118.90266404080664,118.90266404080664,1.0,1.0,False,False
chain8_c4,n16,40,16,30,112.41523378322566,112.41523378322566,112.41523378322566,112.41523378322566,112.41523378322566,112.41523378322566,1.0,1.0,False,False
chain8_c4,n24,40,24,42,91.16767192760801,91.16767192760801,91.16767192760801,91.16767192760801,91.16767192760801,91.16767192760801,1.0,1.0,False,False
chain8_c4,n8,41,8,14,93.49936603318963,93.49936603318963,93.49936603318963,93.49936603318963,93.49936603318963,93.49936603318963,1.0,1.0,False,False
chain8_c4,n16,41,16,33,92.86415808384304,92.86415808384304,92.86415808384304,92.86415808384304,92.86415808384304,92.86415808384304,1.0,1.0,False,False
chain8_c4,n24,41,24,39,107.88649524538167,107.88649524538167,107.88649524538167,107.88649524538167,107.88649524538167,107.88649524538167,1.0,1.0,False,False
chain8_c4,n8,42,8,13,92.96258590978094,92.96258590978094,92.96258590978094,92.96258590978094,65.7235304990235,92.96258590978094,0.706989052163495,1.0,True,False
chain8_c4,n16,42,16,33,103.42238499047768,103.42238499047768,103.42238499047768,103.42238499047768,103.42238499047768,103.42238499047768,1.0,1.0,False,False
chain8_c4,n24,42,24,46,119.70218869630783,119.70218869630783,119.70218869630783,119.70218869630783,119.70218869630783,119.70218869630783,1.0,1.0,False,False
chain8_c4,n8,43,8,15,77.62677524066883,77.62677524066883,77.62677524066883,77.62677524066883,77.62677524066883,77.62677524066883,1.0,1.0,False,False
chain8_c4,n16,43,16,30,98.78042557958531,98.78042557958531,98.78042557958531,98.78042557958531,98.78042557958531,98.78042557958531,1.0,1.0,False,False
chain8_c4,n24,43,24,44,79.83944919629317,79.83944919629317,79.83944919629317,79.83944919629317,79.83944919629317,79.83944919629317,1.0,1.0,False,False
chain8_c4,n8,44,8,21,74.61069664987116,74.61069664987116,74.61069664987116,74.61069664987116,74.61069664987116,74.61069664987116,1.0,1.0,False,False
chain8_c4,n16,44,16,31,87.28956303685918,87.28956303685918,87.28956303685918,87.28956303685918,87.28956303685918,87.28956303685918,1.0,1.0,False,False
chain8_c4,n24,44,24,46,103.26918248087854,103.26918248087854,103.26918248087854,103.26918248087854,103.26918248087854,103.26918248087854,1.0,1.0,False,False
chain8_c4,n8,45,8,16,105.75779773182676,105.75779773182676,105.75779773182676,105.75779773182676,105.75779773182676,105.75779773182676,1.0,1.0,False,False
chain8_c4,n16,45,16,26,60.66306895597332,60.66306895597332,60.66306895597332,60.66306895597332,60.66306895597332,60.66306895597332,1.0,1.0,False,False
chain8_c4,n24,45,24,62,101.14641913344212,101.14641913344212,101.14641913344212,101.14641913344212,101.14641913344212,101.14641913344212,1.0,1.0,False,False
chain8_c4,n8,46,8,16,95.58343690758157,95.58343690758157,95.58343690758157,95.58343690758157,95.58343690758157,95.58343690758157,1.0,1.0,False,False
chain8_c4,n16,46,16,41,119.00050516479007,119.00050516479007,119.00050516479007,119.00050516479007,119.00050516479007,119.00050516479007,1.0,1.0,False,False
chain8_c4,n24,46,24,42,104.99362344494476,104.99362344494476,104.99362344494476,104.99362344494476,104.99362344494476,104.99362344494476,1.0,1.0,False,False
chain8_c4,n8,47,8,20,105.7215150968533,105.7215150968533,105.7215150968533,105.7215150968533,105.7215150968533,105.7215150968533,1.0,1.0,False,False
chain8_c4,n16,47,16,40,96.719903548708,96.719903548708,96.719903548708,96.719903548708,96.719903548708,96.719903548708,1.0,1.0,False,False
chain8_c4,n24,47,24,38,67.68682678307722,67.68682678307722,67.68682678307722,67.68682678307722,67.68682678307722,67.68682678307722,1.0,1.0,False,False
chain8_c4,n8,48,8,18,83.50422709759961,83.50422709759961,83.50422709759961,83.50422709759961,83.50422709759961,83.50422709759961,1.0,1.0,False,False
chain8_c4,n16,48,16,37,55.14110241046866,55.14110241046866,55.14110241046866,55.14110241046866,55.14110241046866,55.14110241046866,1.0,1.0,False,False
chain8_c4,n24,48,24,52,121.29836198963841,121.29836198963841,121.29836198963841,121.29836198963841,121.29836198963841,121.29836198963841,1.0,1.0,False,False
chain8_c4,n8,49,8,15,83.75552148789083,83.75552148789083,83.75552148789083,83.75552148789083,83.75552148789083,83.75552148789083,1.0,1.0,False,False
chain8_c4,n16,49,16,31,86.45605791820313,86.45605791820313,86.45605791820313,86.45605791820313,86.45605791820313,86.45605791820313,1.0,1.0,False,False
chain8_c4,n24,49,24,47,105.19854307101645,105.19854307101645,105.19854307101645,105.19854307101645,105.19854307101645,105.19854307101645,1.0,1.0,False,False
chain8_c4,n8,50,8,17,104.77292841664848,104.77292841664848,104.77292841664848,104.77292841664848,104.77292841664848,104.77292841664848,1.0,1.0,False,False
chain8_c4,n16,50,16,22,120.67563725487392,120.67563725487392,120.67563725487392,120.67563725487392,120.67563725487392,120.67563725487392,1.0,1.0,False,False
chain8_c4,n24,50,24,55,82.84235537363563,82.84235537363563,82.84235537363563,82.84235537363563,82.84235537363563,82.84235537363563,1.0,1.0,False,False
chain8_c4,n8,51,8,19,93.0452793094439,93.0452793094439,93.0452793094439,93.0452793094439,93.0452793094439,93.0452793094439,1.0,1.0,False,False
chain8_c4,n16,51,16,31,93.4780099888461,93.4780099888461,93.4780099888461,93.4780099888461,93.4780099888461,93.4780099888461,1.0,1.0,False,False
chain8_c4,n24,51,24,36,112.03066671412435,112.03066671412435,112.03066671412435,112.03066671412435,112.03066671412435,112.03066671412435,1.0,1.0,False,False
chain8_c4,n8,52,8,15,106.31501823445517,106.31501823445517,106.31501823445517,106.31501823445517,93.0532697052218,93.0532697052218,0.875259876267082,0.875259876267082,True,True
chain8_c4,n16,52,16,40,97.60730715250799,97.60730715250799,97.60730715250799,97.60730715250799,97.60730715250799,97.60730715250799,1.0,1.0,False,False
chain8_c4,n24,52,24,54,86.00986449994441,86.00986449994441,86.00986449994441,86.00986449994441,86.00986449994441,86.00986449994441,1.0,1.0,False,False
chain8_c4,n8,53,8,21,115.95904525261102,115.95904525261102,115.95904525261102,115.95904525261102,115.95904525261102,115.95904525261102,1.0,1.0,False,False
chain8_c4,n16,53,16,24,57.66767301210965,57.66767301210965,57.66767301210965,57.66767301210965,57.66767301210965,57.66767301210965,1.0,1.0,False,False
chain8_c4,n24,53,24,46,101.44231833617386,101.44231833617386,101.44231833617386,101.44231833617386,101.44231833617386,101.44231833617386,1.0,1.0,False,False
chain8_c4,n8,54,8,22,93.57296330278676,93.57296330278676,93.57296330278676,93.57296330278676,93.57296330278676,93.57296330278676,1.0,1.0,False,False
