topology,instance,instance_seed,solver_seed,n_requests,n_bundles,bqm_variables,sampler,calibration,coefficient_scale,A,B,C,D,E,B_ratio,D_ratio,B_tighter,D_tighter,oracle_utility,oracle_optimal,oracle_status,compile_time_s,sample_time_s,n_reads,raw_feasible_rate,raw_mean_request_conflicts,raw_mean_edge_violations,raw_mean_memory_violations,raw_mean_violation_count,raw_mean_overload_units,raw_best_feasible_utility,repaired_best_utility,found_feasible,raw_optimality_gap_pct,repaired_optimality_gap_pct
chain8_c4,n8,13,404,8,21,74,sa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,0.11571612500119954,100,1.0,0.0,0.0,0.0,0.0,0.0,44.77670247814689,44.77670247814689,True,87.36662540350468,87.36662540350468
chain8_c4,n8,13,505,8,21,74,sa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,0.0826500840485096,100,1.0,0.0,0.0,0.0,0.0,0.0,95.31722391039568,95.31722391039568,True,73.10703717528678,73.10703717528678
chain8_c4,n8,13,101,8,21,74,sqa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,15.04109512490686,100,1.0,0.0,0.0,0.0,0.0,0.0,223.83906337680511,223.83906337680511,True,36.84566793751832,36.84566793751832
chain8_c4,n8,13,202,8,21,74,sqa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,12.142987333005294,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,325.9984214173339,False,nan,8.022253812876894
chain8_c4,n8,13,303,8,21,74,sqa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,8.882569874986075,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,165.94512808969176,False,nan,53.17996079225269
chain8_c4,n8,13,404,8,21,74,sqa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,9.245155542041175,100,1.0,0.0,0.0,0.0,0.0,0.0,222.22127964042667,222.22127964042664,True,37.30211217808654,37.30211217808654
chain8_c4,n8,13,505,8,21,74,sqa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,15.632693250081502,100,1.0,0.0,0.0,0.0,0.0,0.0,213.54809077788696,213.54809077788696,True,39.7491803582432,39.7491803582432
chain8_c4,n8,13,101,8,21,74,sa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,0.10223516693804413,100,1.0,0.0,0.0,0.0,0.0,0.0,61.52176863741998,61.52176863741998,True,82.64214410574859,82.64214410574859
chain8_c4,n8,13,202,8,21,74,sa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,0.08120158407837152,100,1.0,0.0,0.0,0.0,0.0,0.0,26.50907392529041,26.50907392529041,True,92.52068503106437,92.52068503106437
chain8_c4,n8,13,303,8,21,74,sa,resource_aware,1.0,92.3039785027982,81.55317125536023,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.00970095896627754,0.07863095798529685,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,117.62475617962977,False,nan,66.8131522779301
